GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AsyncAPI :: Java generator,de.dentrassi.asyncapi.generator.java,PropertyInformation,27,0,0,0,10,0,5,0,5,0
AsyncAPI :: Java generator,de.dentrassi.asyncapi.generator.java,TopicInformation.Status,0,58,0,0,0,2,0,4,0,4
AsyncAPI :: Java generator,de.dentrassi.asyncapi.generator.java,Generator,1714,0,132,0,306,0,131,0,58,0
AsyncAPI :: Java generator,de.dentrassi.asyncapi.generator.java,Generator.Builder,103,0,2,0,24,0,8,0,7,0
AsyncAPI :: Java generator,de.dentrassi.asyncapi.generator.java,Generator.Options,44,0,2,0,14,0,7,0,6,0
AsyncAPI :: Java generator,de.dentrassi.asyncapi.generator.java,PackageTypeBuilder,881,0,58,0,189,0,51,0,22,0
AsyncAPI :: Java generator,de.dentrassi.asyncapi.generator.java,TopicInformation,0,169,2,18,0,46,2,18,0,10
AsyncAPI :: Java generator,de.dentrassi.asyncapi.generator.java,ConnectorType,38,0,0,0,3,0,4,0,4,0
AsyncAPI :: Java generator,de.dentrassi.asyncapi.generator.java,ServiceDefinitions,189,0,16,0,41,0,14,0,6,0
AsyncAPI :: Java generator,de.dentrassi.asyncapi.generator.java,TypeInformation,21,0,0,0,8,0,4,0,4,0
AsyncAPI :: Java generator,de.dentrassi.asyncapi.generator.java,ConnectorType.new ConnectorType() {...},16,0,0,0,5,0,5,0,5,0
AsyncAPI :: Java generator,de.dentrassi.asyncapi.generator.java,ConnectorType.new ConnectorType() {...},16,0,0,0,5,0,5,0,5,0
AsyncAPI :: Java generator,de.dentrassi.asyncapi.generator.java,Generator.new Generator.Context() {...},25,0,0,0,4,0,4,0,4,0
AsyncAPI :: Java generator,de.dentrassi.asyncapi.generator.java,TypeBuilder,170,0,12,0,37,0,19,0,13,0
AsyncAPI :: Java generator,de.dentrassi.asyncapi.generator.java,PackageTypeBuilder.ClassTypeBuilder,94,0,2,0,21,0,6,0,5,0
AsyncAPI :: Java generator,de.dentrassi.asyncapi.generator.java,ServiceDefinitions.VersionedService,15,0,0,0,6,0,3,0,3,0
AsyncAPI :: Java generator,de.dentrassi.asyncapi.generator.java,GeneratorExtension,2,0,0,0,2,0,2,0,2,0
AsyncAPI :: Java generator,de.dentrassi.asyncapi.generator.java.util,JDTHelper,194,0,4,0,48,0,18,0,16,0
AsyncAPI :: Java generator,de.dentrassi.asyncapi.generator.java.util,Version,13,84,2,10,2,17,3,7,1,3
AsyncAPI :: Java generator,de.dentrassi.asyncapi.generator.java.util,Java,99,0,6,0,26,0,13,0,10,0
AsyncAPI :: Java generator,de.dentrassi.asyncapi.generator.java.util,Names.Type,9,49,0,0,0,2,2,2,2,2
AsyncAPI :: Java generator,de.dentrassi.asyncapi.generator.java.util,Names,19,219,3,35,4,53,6,28,3,12
AsyncAPI :: Java generator,de.dentrassi.asyncapi.generator.java.gson,GsonGeneratorExtension,38,0,0,0,10,0,2,0,2,0
AsyncAPI :: Java generator,de.dentrassi.asyncapi.generator.java.jms,JmsGeneratorExtension,1347,0,28,0,251,0,40,0,26,0
